"Duration","Start Time","Profile Name","Country","Bookmark","Latest Bookmark","Supplemental Video Type","Attributes","Device Type","Title"
"00:00:04","2025-06-17 16:37:27","Jose","US (United States)","00:00:04","00:00:04","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Clip 4: STRAW"
"00:50:19","2025-06-15 02:04:17","Jose","US (United States)","00:52:39","00:52:39","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","You: Season 5: Finale (Episode 10)"
"00:00:02","2025-06-15 02:02:39","Jose","US (United States)","00:02:22","Not latest view","","","Google Sabrina ATV Set Top Box","You: Season 5: Finale (Episode 10)"
"00:00:05","2025-06-15 02:02:28","Jose","US (United States)","00:02:21","Not latest view","","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","You: Season 5: Finale (Episode 10)"
"00:43:34","2025-06-15 01:09:58","Jose","US (United States)","00:43:35","00:43:35","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","You: Season 5: Trial of the Furies (Episode 9)"
"00:19:33","2025-06-15 00:50:20","Jose","US (United States)","00:50:53","00:50:53","","","Google Sabrina ATV Set Top Box","You: Season 5: Folie a Deux (Episode 8)"
"00:30:24","2025-06-15 00:12:26","Jose","US (United States)","00:31:43","Not latest view","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","You: Season 5: Folie a Deux (Episode 8)"
"00:42:38","2025-06-14 23:24:03","Jose","US (United States)","00:42:39","00:42:39","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","You: Season 5: #JoeGoldberg (Episode 7)"
"00:06:46","2025-06-14 23:16:30","Jose","US (United States)","00:44:44","00:44:44","","","Google Sabrina ATV Set Top Box","You: Season 5: The Dark Face of Love (Episode 6)"
"00:37:33","2025-06-14 22:21:19","Jose","US (United States)","00:38:19","Not latest view","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","You: Season 5: The Dark Face of Love (Episode 6)"
"00:34:56","2025-06-14 21:46:21","Jose","US (United States)","00:48:11","00:48:11","","","Google Sabrina ATV Set Top Box","You: Season 5: Last Dance (Episode 5)"
"00:11:57","2025-06-14 21:08:43","Jose","US (United States)","00:13:18","Not latest view","","","Google Sabrina ATV Set Top Box","You: Season 5: Last Dance (Episode 5)"
"00:00:17","2025-06-14 21:02:21","Jose","US (United States)","00:01:25","Not latest view","","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","You: Season 5: Last Dance (Episode 5)"
"00:52:58","2025-06-14 19:48:33","Jose","US (United States)","00:51:12","00:51:12","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","You: Season 5: My Fair Maddie (Episode 4)"
"00:00:03","2025-06-14 19:48:23","Jose","US (United States)","00:26:05","Not latest view","","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","FUBAR: Season 2: Fullest House (Episode 1)"
"00:01:13","2025-06-14 19:47:00","Jose","US (United States)","00:01:13","00:01:13","TRAILER","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Season 5 Trailer: You"
"00:00:04","2025-06-14 04:24:30","Jose","US (United States)","00:01:17","Not latest view","","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","You: Season 5: My Fair Maddie (Episode 4)"
"01:12:08","2025-06-14 03:02:35","Jose","US (United States)","00:51:23","00:51:23","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","You: Season 5: Impostor Syndrome (Episode 3)"
"00:34:35","2025-06-14 02:19:47","Jose","US (United States)","00:49:59","00:49:59","","","Google Sabrina ATV Set Top Box","You: Season 5: Blood Will Have Blood (Episode 2)"
"00:26:38","2025-06-13 01:55:15","Jose","US (United States)","00:26:04","Not latest view","","","Google Sabrina ATV Set Top Box","FUBAR: Season 2: Fullest House (Episode 1)"
"00:00:01","2025-06-13 00:06:14","Jose","US (United States)","00:00:07","Not latest view","","","Safari MAC (Cadmium)","FUBAR: Season 2: Fullest House (Episode 1)"
"00:22:09","2025-06-12 23:43:24","Jose","US (United States)","00:42:18","00:42:18","","","Safari MAC (Cadmium)","FUBAR: Season 1: That's It and That's All (Episode 8)"
"00:07:17","2025-06-12 23:35:33","Jose","US (United States)","00:48:17","00:48:17","","","Safari MAC (Cadmium)","FUBAR: Season 1: Urine Luck (Episode 7)"
"00:02:01","2025-06-12 23:33:14","Jose","US (United States)","00:00:31","Not latest view","","","Safari MAC (Cadmium)","FUBAR: Season 1: That's It and That's All (Episode 8)"
"00:02:15","2025-06-12 20:56:27","Jose","US (United States)","00:33:03","Not latest view","","","Safari MAC (Cadmium)","White Collar: Season 2: Company Man (Episode 8)"
"00:00:11","2025-06-12 20:55:14","Jose","US (United States)","00:00:11","00:00:11","HOOK","Autoplayed: user action: None; ","Safari MAC (Cadmium)","Clip 8: The OceanGate Submersible Disaster"
"00:38:03","2025-06-10 22:18:01","Jose","US (United States)","00:38:04","00:38:04","","","Google Sabrina ATV Set Top Box","Million Dollar Secret: Season 1: Instant Millionaire (Episode 1)"
"00:00:09","2025-06-10 22:17:49","Jose","US (United States)","00:00:09","00:00:09","HOOK","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","Season 1 Clip 2: Million Dollar Secret"
"00:02:00","2025-06-10 22:15:35","Jose","US (United States)","00:43:06","00:43:06","","","Google Sabrina ATV Set Top Box","Ginny & Georgia: Season 1: Next Level Rich People Sh*t (Episode 3)"
"00:00:10","2025-06-10 22:15:22","Jose","US (United States)","00:00:10","00:00:10","HOOK","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","Season 3 Clip 5: Ginny & Georgia"
"00:00:04","2025-06-10 22:15:15","Jose","US (United States)","00:00:04","00:00:04","TRAILER","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Trailer: WWE Raw"
"00:04:28","2025-06-10 18:40:44","Eri","GB (United Kingdom)","00:05:07","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Video (Episode 11)"
"00:25:56","2025-06-10 18:14:46","Eri","GB (United Kingdom)","00:25:57","00:25:57","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Highs (Episode 10)"
"00:21:43","2025-06-10 17:52:43","Eri","GB (United Kingdom)","00:28:42","00:28:42","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Website (Episode 9)"
"00:14:18","2025-06-09 01:32:12","Jose","US (United States)","00:15:28","Not latest view","","","Google Sabrina ATV Set Top Box","You: Season 5: Blood Will Have Blood (Episode 2)"
"00:36:47","2025-06-09 00:41:36","Jose","US (United States)","00:45:26","00:45:26","","","Google Sabrina ATV Set Top Box","You: Season 5: The Luckiest Guy in NY (Episode 1)"
"00:11:39","2025-06-09 00:18:57","Jose","US (United States)","00:11:39","Not latest view","","","Google Sabrina ATV Set Top Box","You: Season 5: The Luckiest Guy in NY (Episode 1)"
"00:00:55","2025-06-09 00:01:38","Jose","US (United States)","00:00:55","00:00:55","TEASER_TRAILER","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Season 5 Teaser: You"
"00:00:04","2025-06-09 00:01:22","Jose","US (United States)","00:00:04","00:00:04","TRAILER","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Season 1 Trailer: FUBAR"
"00:00:04","2025-06-09 00:00:59","Jose","US (United States)","00:00:04","00:00:04","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Suits: Season 5 - CLM 5"
"00:00:25","2025-06-09 00:00:09","Jose","US (United States)","00:00:25","Not latest view","TEASER_TRAILER","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","Season 5 Teaser: You"
"00:00:10","2025-06-08 23:59:43","Jose","US (United States)","00:00:10","Not latest view","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Limited Series Clip 5: Sirens"
"00:30:48","2025-06-08 21:22:11","Jose","US (United States)","00:30:48","Not latest view","","","Safari MAC (Cadmium)","White Collar: Season 2: Company Man (Episode 8)"
"00:04:14","2025-06-08 21:14:31","Jose","US (United States)","00:21:17","00:21:17","","","Safari MAC (Cadmium)","White Collar: Season 2: Prisoner's Dilemma (Episode 7)"
"00:01:20","2025-06-08 21:13:08","Jose","US (United States)","00:01:20","Not latest view","HOOK","Autoplayed: user action: None; ","Safari MAC (Cadmium)","Limited Series Clip 5: Sirens"
"00:01:19","2025-06-06 12:48:48","Jose","AE (United Arab Emirates)","00:01:19","00:01:19","TRAILER","Autoplayed: user action: None; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Season 2 Trailer: FUBAR"
"00:00:04","2025-06-06 00:34:41","Jose","US (United States)","00:00:04","00:00:04","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Clip 2: The Life List"
"00:00:06","2025-06-06 00:34:22","Jose","US (United States)","00:00:06","00:00:06","TRAILER","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Calibre (Trailer)"
"00:00:13","2025-06-06 00:34:01","Jose","US (United States)","00:00:13","00:00:13","TRAILER","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Trailer: Wasp Network"
"00:00:08","2025-06-06 00:33:44","Jose","US (United States)","00:00:08","00:00:08","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Sicario_hook_primary_16x9_backfill"
"00:00:41","2025-06-06 00:33:02","Jose","US (United States)","00:00:41","00:00:41","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","To Catch a Killer_hook_01_16x9"
"00:00:18","2025-06-06 00:32:40","Jose","US (United States)","00:00:18","00:00:18","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","The Wild Robot_hook_primary_16x9"
"00:15:15","2025-06-05 01:42:10","Jose","US (United States)","00:41:02","Not latest view","","","Google Sabrina ATV Set Top Box","White Collar: Season 2: Prisoner's Dilemma (Episode 7)"
"00:25:45","2025-06-04 01:29:42","Jose","US (United States)","00:25:48","Not latest view","","","Google Sabrina ATV Set Top Box","White Collar: Season 2: Prisoner's Dilemma (Episode 7)"
"00:05:58","2025-06-03 14:24:49","Eri","GB (United Kingdom)","00:06:35","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Website (Episode 9)"
"00:22:46","2025-06-03 14:02:00","Eri","GB (United Kingdom)","00:27:25","00:27:25","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Ceremony (Episode 8)"
"00:04:39","2025-06-01 16:36:59","Jose","US (United States)","00:04:32","Not latest view","","","Apple iPad Pro 11 M4 Wi/Ce iPad","White Collar: Season 2: Prisoner's Dilemma (Episode 7)"
"00:00:10","2025-05-26 19:10:33","Eri","GB (United Kingdom)","00:00:10","00:00:10","TRAILER","","Apple iPhone 14 Pro Max iPhone","Trailer: 7 Donne e un Mistero"
"00:01:06","2025-05-26 19:08:54","Eri","GB (United Kingdom)","00:01:06","00:01:06","TRAILER","","Apple iPhone 14 Pro Max iPhone","Trailer: Murder Mystery 2"
"00:00:22","2025-05-26 19:08:30","Eri","GB (United Kingdom)","00:00:22","00:00:22","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Plot Clip: Murder Mystery 2"
"00:01:16","2025-05-26 19:06:51","Eri","GB (United Kingdom)","00:01:16","00:01:16","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Spy_hook_01_16x9"
"00:01:28","2025-05-26 19:05:09","Eri","GB (United Kingdom)","00:01:28","00:01:28","TRAILER","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Trailer: Love, Divided"
"00:00:06","2025-05-26 19:04:54","Eri","GB (United Kingdom)","00:00:07","00:00:07","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Main Character Intro Clip: Inheritance"
"00:00:47","2025-05-26 19:03:44","Eri","GB (United Kingdom)","00:00:47","00:00:47","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Which Brings Me to You_hook_03_16x9"
"00:00:34","2025-05-26 19:02:51","Eri","GB (United Kingdom)","00:00:34","00:00:34","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","How Do You Know_hook_primary_16x9"
"00:01:15","2025-05-26 19:01:24","Eri","GB (United Kingdom)","00:01:15","00:01:15","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Life or Something Like It_hook_03_16x9"
"00:01:08","2025-05-26 19:00:05","Eri","GB (United Kingdom)","00:00:59","00:00:59","TRAILER","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Trailer: A Deadly American Marriage"
"00:08:06","2025-05-24 19:00:37","Jose","AE (United Arab Emirates)","00:31:45","00:31:45","","","Apple iPad Pro 11 M4 Wi/Ce iPad","The Night Agent: Season 2: Government Property (Episode 3)"
"00:04:36","2025-05-22 14:08:01","Eri","GB (United Kingdom)","00:04:37","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Ceremony (Episode 8)"
"00:17:26","2025-05-22 13:49:37","Eri","GB (United Kingdom)","00:26:48","00:26:48","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Tremor (Episode 7)"
"00:46:29","2025-05-22 09:21:18","Jose","AE (United Arab Emirates)","00:46:56","00:46:56","","Autoplayed: user action: User_Interaction; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Thank You, Next: Season 2: #Bunjeejumping (Episode 8)"
"00:29:13","2025-05-22 08:51:58","Jose","AE (United Arab Emirates)","00:32:13","00:32:13","","Autoplayed: user action: User_Interaction; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Thank You, Next: Season 2: #TurningPoint (Episode 7)"
"00:02:58","2025-05-22 08:41:42","Jose","AE (United Arab Emirates)","00:03:03","Not latest view","","Autoplayed: user action: User_Interaction; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Thank You, Next: Season 2: #TurningPoint (Episode 7)"
"00:36:39","2025-05-22 08:04:54","Jose","AE (United Arab Emirates)","00:35:58","00:35:58","","","LG DTV 2023 MTK LM21A UHD TV Smart TV","Thank You, Next: Season 2: #CloudNine (Episode 6)"
"00:08:41","2025-05-21 00:22:18","Eri","US (United States)","00:09:19","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Tremor (Episode 7)"
"00:20:34","2025-05-19 17:43:59","Jose","AE (United Arab Emirates)","00:21:24","Not latest view","","","LG DTV 2023 MTK LM21A UHD TV Smart TV","The Night Agent: Season 2: Government Property (Episode 3)"
"00:00:33","2025-05-19 17:42:42","Jose","AE (United Arab Emirates)","00:00:33","00:00:33","HOOK","Autoplayed: user action: None; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Season 1 Clip 4: American Manhunt: Osama Bin Laden"
"00:20:58","2025-05-19 17:20:58","Jose","AE (United Arab Emirates)","00:21:03","00:21:03","","","LG DTV 2023 MTK LM21A UHD TV Smart TV","Love on the Spectrum: Season 1: Episode 2 (Episode 2)"
"00:39:36","2025-05-19 16:41:19","Jose","AE (United Arab Emirates)","00:39:36","00:39:36","","","LG DTV 2023 MTK LM21A UHD TV Smart TV","Love on the Spectrum: Season 1: Episode 1 (Episode 1)"
"00:00:02","2025-05-19 16:41:06","Jose","AE (United Arab Emirates)","00:00:02","00:00:02","","Autoplayed: user action: None; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Love on the Spectrum: Season 3: Episode 1 (Episode 1)"
"00:00:02","2025-05-19 16:41:02","Jose","AE (United Arab Emirates)","00:00:02","Not latest view","","Autoplayed: user action: None; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Love on the Spectrum: Season 3: Episode 1 (Episode 1)"
"00:00:05","2025-05-19 16:40:31","Jose","AE (United Arab Emirates)","00:00:05","00:00:05","","Autoplayed: user action: None; ","LG DTV 2023 MTK LM21A UHD TV Smart TV","Love on the Spectrum: Australia: Season 2: Episode 1 (Episode 1)"
"00:24:41","2025-05-17 07:49:11","Eri","GB (United Kingdom)","00:27:32","00:27:32","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The House (Episode 1)"
"00:40:20","2025-05-17 03:02:12","Jose","AE (United Arab Emirates)","00:42:06","00:42:06","","","Apple iPad Pro 11 M4 Wi/Ce iPad","Unknown Title"
"00:02:05","2025-05-16 21:35:04","Eri","GB (United Kingdom)","00:02:50","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The House (Episode 1)"
"00:00:07","2025-05-16 21:06:04","Eri","GB (United Kingdom)","00:00:08","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The House (Episode 1)"
"00:01:14","2025-05-16 21:04:47","Eri","GB (United Kingdom)","00:28:46","00:28:46","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 4: The Home (Episode 13)"
"00:08:50","2025-05-16 20:55:53","Eri","GB (United Kingdom)","00:27:32","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 4: The Home (Episode 13)"
"00:18:21","2025-05-16 20:05:30","Eri","GB (United Kingdom)","00:18:42","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 4: The Home (Episode 13)"
"00:19:44","2025-05-16 19:44:53","Eri","GB (United Kingdom)","00:26:54","00:26:54","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 4: The Rats (Episode 12)"
"00:00:04","2025-05-16 19:44:46","Eri","GB (United Kingdom)","00:00:04","00:00:04","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 7 - CLM 13"
"01:36:19","2025-05-15 20:08:49","Eri","GB (United Kingdom)","01:36:09","01:36:09","","","Apple iPhone 14 Pro Max iPhone","The Truman Show"
"00:00:13","2025-05-15 20:08:49","Eri","GB (United Kingdom)","00:00:13","00:00:13","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","The Truman Show_hook_primary_16x9_backfill"
"00:00:39","2025-05-15 20:07:56","Eri","GB (United Kingdom)","00:00:39","00:00:39","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Clip 3: Back In Action"
"00:00:31","2025-05-15 20:07:05","Eri","GB (United Kingdom)","00:00:31","00:00:31","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Joyride_hook_01_16x9"
"00:00:45","2025-05-15 20:05:46","Eri","GB (United Kingdom)","00:00:45","00:00:45","TRAILER","","Apple iPhone 14 Pro Max iPhone","Trailer: A Family Affair"
"00:01:15","2025-05-15 20:04:09","Eri","GB (United Kingdom)","00:01:15","00:01:15","TRAILER","","Apple iPhone 14 Pro Max iPhone","Trailer: La Dolce Villa"
"00:00:10","2025-05-15 20:03:56","Eri","GB (United Kingdom)","00:00:11","00:00:11","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Clip 6: La Dolce Villa"
"00:11:21","2025-05-15 19:43:37","Eri","GB (United Kingdom)","00:33:07","00:33:07","","","Apple iPhone 14 Pro Max iPhone","The Four Seasons: Season 1: Fun (Episode 8)"
"00:05:13","2025-05-14 04:45:37","Jose","US (United States)","00:05:13","Not latest view","","","Google Sabrina ATV Set Top Box","White Collar: Season 1: Home Invasion (Episode 12)"
"00:41:52","2025-05-14 03:54:09","Jose","US (United States)","00:42:39","00:42:39","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","White Collar: Season 1: Bad Judgement (Episode 11)"
"00:26:31","2025-05-14 03:27:34","Jose","US (United States)","00:42:13","00:42:13","","","Google Sabrina ATV Set Top Box","White Collar: Season 1: Vital Signs (Episode 10)"
"00:12:21","2025-05-14 02:31:40","Jose","US (United States)","00:15:46","Not latest view","","","Google Sabrina ATV Set Top Box","White Collar: Season 1: Vital Signs (Episode 10)"
"00:01:39","2025-05-14 01:45:16","Jose","US (United States)","00:03:27","Not latest view","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","White Collar: Season 1: Vital Signs (Episode 10)"
"00:07:18","2025-05-13 22:37:05","Eri","GB (United Kingdom)","00:21:44","Not latest view","","","Apple iPhone 14 Pro Max iPhone","The Four Seasons: Season 1: Fun (Episode 8)"
"00:01:50","2025-05-13 14:02:59","Jose","US (United States)","00:01:51","Not latest view","","","Safari MAC (Cadmium)","White Collar: Season 1: Vital Signs (Episode 10)"
"00:30:54","2025-05-13 13:32:03","Jose","US (United States)","00:42:30","00:42:30","","","Safari MAC (Cadmium)","White Collar: Season 1: Hard Sell (Episode 9)"
"00:11:36","2025-05-13 04:59:43","Jose","US (United States)","00:11:36","Not latest view","","","Google Sabrina ATV Set Top Box","White Collar: Season 1: Hard Sell (Episode 9)"
"00:43:28","2025-05-13 04:16:04","Jose","US (United States)","00:42:26","00:42:26","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","White Collar: Season 1: Free Fall (Episode 8)"
"00:41:48","2025-05-13 03:34:16","Jose","US (United States)","00:41:48","00:41:48","","","Google Sabrina ATV Set Top Box","White Collar: Season 1: All In (Episode 7)"
"00:41:52","2025-05-13 02:52:09","Jose","US (United States)","00:41:53","00:41:53","","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","White Collar: Season 1: The Portrait (Episode 6)"
"00:41:40","2025-05-13 02:10:28","Jose","US (United States)","00:41:40","00:41:40","","","Google Sabrina ATV Set Top Box","White Collar: Season 1: Flip of the Coin (Episode 5)"
"00:41:47","2025-05-13 01:28:39","Jose","US (United States)","00:41:47","00:41:47","","","Google Sabrina ATV Set Top Box","White Collar: Season 1: Book of Hours (Episode 4)"
"00:14:41","2025-05-13 01:13:58","Jose","US (United States)","00:41:32","00:41:32","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","White Collar: Season 1: Threads (Episode 3)"
"00:14:19","2025-05-12 21:02:55","Eri","GB (United Kingdom)","00:14:23","Not latest view","","","Apple iPhone 14 Pro Max iPhone","The Four Seasons: Season 1: Fun (Episode 8)"
